Id,Path,CarProfile,Velocity,Translation,Rotation,GifPath,Head_Collision_XYZ_index,Head_Collision_X,Head_Collision_Y,Head_Collision_Z,Front_Height,Hood_Front_Width,Hood_Back_Width,Hood_Length,Hood_Angle,Windscreen_Length,Windscreen_Angle
9,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-200_rot=330_pos=initial.txt,FCR,100,-200,330,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=FCR_Vel=100_tra=-200_rot=330_pos=initial.metadb.gif,115,256.894,-252.694,1029.648,770,1160,1460,1070,11.0,816,30
23,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=-400_rot=90_pos=initial.txt,FCR,100,-400,90,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=FCR_Vel=100_tra=-400_rot=90_pos=initial.metadb.gif,118,234.528,-287.215,969.21,770,1160,1460,1070,11.0,816,30
55,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=100_tra=400_rot=60_pos=initial.txt,FCR,100,400,60,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=FCR_Vel=100_tra=400_rot=60_pos=initial.metadb.gif,118,173.863,447.64,1028.709,770,1160,1460,1070,11.0,816,30
66,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=-200_rot=330_pos=initial.txt,FCR,20,-200,330,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=FCR_Vel=20_tra=-200_rot=330_pos=initial.metadb.gif,114,252.56,-252.309,1029.179,770,1160,1460,1070,11.0,816,30
108,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=180_pos=initial.txt,FCR,20,400,180,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=FCR_Vel=20_tra=400_rot=180_pos=initial.metadb.gif,158,797.761,583.819,1004.925,770,1160,1460,1070,11.0,816,30
115,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=20_tra=400_rot=60_pos=initial.txt,FCR,20,400,60,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=FCR_Vel=20_tra=400_rot=60_pos=initial.metadb.gif,118,161.499,453.651,1043.052,770,1160,1460,1070,11.0,816,30
123,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=-200_rot=270_pos=initial.txt,FCR,40,-200,270,C:\Users\geork\projects\AIThesis\src\gifs\Q5_Type=FCR_Vel=40_tra=-200_rot=270_pos=initial.metadb.gif,102,112.576,-123.346,990.655,770,1160,1460,1070,11.0,816,30
155,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=200_rot=210_pos=initial.txt,FCR,40,200,210,C:\Users\geork\projects\AIThesis\src\gifs\Q3_Type=FCR_Vel=40_tra=200_rot=210_pos=initial.metadb.gif,116,258.731,336.52,1030.85,770,1160,1460,1070,11.0,816,30
166,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=40_tra=400_rot=180_pos=initial.txt,FCR,40,400,180,C:\Users\geork\projects\AIThesis\src\gifs\Q1_Type=FCR_Vel=40_tra=400_rot=180_pos=initial.metadb.gif,144,668.159,538.34,1000.96,770,1160,1460,1070,11.0,816,30
271,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=80_tra=200_rot=150_pos=initial.txt,FCR,80,200,150,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=FCR_Vel=80_tra=200_rot=150_pos=initial.metadb.gif,122,339.807,145.89,1032.791,770,1160,1460,1070,11.0,816,30
284,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=80_tra=400_rot=180_pos=initial.txt,FCR,80,400,180,C:\Users\geork\projects\AIThesis\src\gifs\Q1_Type=FCR_Vel=80_tra=400_rot=180_pos=initial.metadb.gif,162,857.189,593.029,996.203,770,1160,1460,1070,11.0,816,30
291,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=FCR_Vel=80_tra=400_rot=60_pos=initial.txt,FCR,80,400,60,C:\Users\geork\projects\AIThesis\src\gifs\Q5_Type=FCR_Vel=80_tra=400_rot=60_pos=initial.metadb.gif,119,168.294,448.894,1032.326,770,1160,1460,1070,11.0,816,30
294,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=100_tra=-200_rot=120_pos=initial.txt,MPV,100,-200,120,C:\Users\geork\projects\AIThesis\src\gifs\Q8_Type=MPV_Vel=100_tra=-200_rot=120_pos=initial.metadb.gif,102,158.899,-193.145,1131.567,880,1100,1460,870,12.3,930,30
301,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=100_tra=-200_rot=30_pos=initial.txt,MPV,100,-200,30,C:\Users\geork\projects\AIThesis\src\gifs\Q5_Type=MPV_Vel=100_tra=-200_rot=30_pos=initial.metadb.gif,113,351.312,-62.546,1110.162,880,1100,1460,870,12.3,930,30
303,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=100_tra=-200_rot=60_pos=initial.txt,MPV,100,-200,60,C:\Users\geork\projects\AIThesis\src\gifs\Q8_Type=MPV_Vel=100_tra=-200_rot=60_pos=initial.metadb.gif,102,177.592,-99.365,1125.419,880,1100,1460,870,12.3,930,30
312,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=100_tra=-400_rot=300_pos=initial.txt,MPV,100,-400,300,C:\Users\geork\projects\AIThesis\src\gifs\Q8_Type=MPV_Vel=100_tra=-400_rot=300_pos=initial.metadb.gif,98,88.864,-356.451,1133.499,880,1100,1460,870,12.3,930,30
318,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=100_tra=0_rot=120_pos=initial.txt,MPV,100,0,120,C:\Users\geork\projects\AIThesis\src\gifs\Q8_Type=MPV_Vel=100_tra=0_rot=120_pos=initial.metadb.gif,101,158.579,-4.512,1132.262,880,1100,1460,870,12.3,930,30
320,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=100_tra=0_rot=180_pos=initial.txt,MPV,100,0,180,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=MPV_Vel=100_tra=0_rot=180_pos=initial.metadb.gif,157,1069.171,60.871,1068.814,880,1100,1460,870,12.3,930,30
323,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=100_tra=0_rot=270_pos=initial.txt,MPV,100,0,270,C:\Users\geork\projects\AIThesis\src\gifs\Q8_Type=MPV_Vel=100_tra=0_rot=270_pos=initial.metadb.gif,92,92.805,37.735,1106.441,880,1100,1460,870,12.3,930,30
327,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=100_tra=0_rot=60_pos=initial.txt,MPV,100,0,60,C:\Users\geork\projects\AIThesis\src\gifs\Q8_Type=MPV_Vel=100_tra=0_rot=60_pos=initial.metadb.gif,102,167.031,96.393,1131.587,880,1100,1460,870,12.3,930,30
332,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=100_tra=200_rot=210_pos=initial.txt,MPV,100,200,210,C:\Users\geork\projects\AIThesis\src\gifs\Q7_Type=MPV_Vel=100_tra=200_rot=210_pos=initial.metadb.gif,106,220.691,306.254,1111.613,880,1100,1460,870,12.3,930,30
390,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=20_tra=200_rot=150_pos=initial.txt,MPV,20,200,150,C:\Users\geork\projects\AIThesis\src\gifs\Q7_Type=MPV_Vel=20_tra=200_rot=150_pos=initial.metadb.gif,118,383.31,147.662,1100.145,880,1100,1460,870,12.3,930,30
407,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=20_tra=400_rot=300_pos=initial.txt,MPV,20,400,300,C:\Users\geork\projects\AIThesis\src\gifs\Q8_Type=MPV_Vel=20_tra=400_rot=300_pos=initial.metadb.gif,107,140.931,309.166,1163.1,880,1100,1460,870,12.3,930,30
418,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=-200_rot=270_pos=initial.txt,MPV,40,-200,270,C:\Users\geork\projects\AIThesis\src\gifs\Q7_Type=MPV_Vel=40_tra=-200_rot=270_pos=initial.metadb.gif,93,135.185,-118.899,1061.484,880,1100,1460,870,12.3,930,30
452,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=40_tra=200_rot=240_pos=initial.txt,MPV,40,200,240,C:\Users\geork\projects\AIThesis\src\gifs\Q8_Type=MPV_Vel=40_tra=200_rot=240_pos=initial.metadb.gif,97,98.177,259.268,1130.074,880,1100,1460,870,12.3,930,30
512,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=60_tra=200_rot=300_pos=initial.txt,MPV,60,200,300,C:\Users\geork\projects\AIThesis\src\gifs\Q7_Type=MPV_Vel=60_tra=200_rot=300_pos=initial.metadb.gif,97,113.712,175.389,1124.118,880,1100,1460,870,12.3,930,30
530,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=80_tra=-200_rot=120_pos=initial.txt,MPV,80,-200,120,C:\Users\geork\projects\AIThesis\src\gifs\Q8_Type=MPV_Vel=80_tra=-200_rot=120_pos=initial.metadb.gif,102,159.752,-194.191,1131.25,880,1100,1460,870,12.3,930,30
537,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=80_tra=-200_rot=30_pos=initial.txt,MPV,80,-200,30,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=MPV_Vel=80_tra=-200_rot=30_pos=initial.metadb.gif,113,379.586,-74.125,1098.047,880,1100,1460,870,12.3,930,30
543,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=80_tra=-400_rot=150_pos=initial.txt,MPV,80,-400,150,C:\Users\geork\projects\AIThesis\src\gifs\Q7_Type=MPV_Vel=80_tra=-400_rot=150_pos=initial.metadb.gif,125,357.102,-457.18,1141.4,880,1100,1460,870,12.3,930,30
553,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=80_tra=0_rot=0_pos=initial.txt,MPV,80,0,0,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=MPV_Vel=80_tra=0_rot=0_pos=initial.metadb.gif,152,1037.054,46.182,1064.618,880,1100,1460,870,12.3,930,30
561,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=80_tra=0_rot=30_pos=initial.txt,MPV,80,0,30,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=MPV_Vel=80_tra=0_rot=30_pos=initial.metadb.gif,117,373.707,151.532,1105.183,880,1100,1460,870,12.3,930,30
569,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=80_tra=200_rot=210_pos=initial.txt,MPV,80,200,210,C:\Users\geork\projects\AIThesis\src\gifs\Q8_Type=MPV_Vel=80_tra=200_rot=210_pos=initial.metadb.gif,107,227.997,310.737,1114.208,880,1100,1460,870,12.3,930,30
578,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=80_tra=400_rot=120_pos=initial.txt,MPV,80,400,120,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=MPV_Vel=80_tra=400_rot=120_pos=initial.metadb.gif,122,381.412,280.407,1119.598,880,1100,1460,870,12.3,930,30
579,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=MPV_Vel=80_tra=400_rot=150_pos=initial.txt,MPV,80,400,150,C:\Users\geork\projects\AIThesis\src\gifs\Q3_Type=MPV_Vel=80_tra=400_rot=150_pos=initial.metadb.gif,116,371.008,462.209,1095.984,880,1100,1460,870,12.3,930,30
598,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=100_tra=-200_rot=330_pos=initial.txt,RDS,100,-200,330,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=RDS_Vel=100_tra=-200_rot=330_pos=initial.metadb.gif,128,311.311,-259.99,943.084,715,1080,1440,1140,10.0,801,27
615,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=100_tra=0_rot=150_pos=initial.txt,RDS,100,0,150,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=RDS_Vel=100_tra=0_rot=150_pos=initial.metadb.gif,128,335.898,-10.931,946.161,715,1080,1440,1140,10.0,801,27
617,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=100_tra=0_rot=210_pos=initial.txt,RDS,100,0,210,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=RDS_Vel=100_tra=0_rot=210_pos=initial.metadb.gif,128,325.931,158.593,942.763,715,1080,1440,1140,10.0,801,27
633,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=100_tra=200_rot=30_pos=initial.txt,RDS,100,200,30,C:\Users\geork\projects\AIThesis\src\gifs\Q7_Type=RDS_Vel=100_tra=200_rot=30_pos=initial.metadb.gif,132,338.794,303.875,947.633,715,1080,1440,1140,10.0,801,27
656,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=20_tra=-200_rot=300_pos=initial.txt,RDS,20,-200,300,C:\Users\geork\projects\AIThesis\src\gifs\Q7_Type=RDS_Vel=20_tra=-200_rot=300_pos=initial.metadb.gif,111,109.269,-210.477,965.462,715,1080,1440,1140,10.0,801,27
675,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=20_tra=0_rot=150_pos=initial.txt,RDS,20,0,150,C:\Users\geork\projects\AIThesis\src\gifs\Q7_Type=RDS_Vel=20_tra=0_rot=150_pos=initial.metadb.gif,130,342.08,-17.416,947.278,715,1080,1440,1140,10.0,801,27
716,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=40_tra=-200_rot=300_pos=initial.txt,RDS,40,-200,300,C:\Users\geork\projects\AIThesis\src\gifs\Q5_Type=RDS_Vel=40_tra=-200_rot=300_pos=initial.metadb.gif,117,80.035,-195.668,970.803,715,1080,1440,1140,10.0,801,27
718,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=40_tra=-200_rot=330_pos=initial.txt,RDS,40,-200,330,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=RDS_Vel=40_tra=-200_rot=330_pos=initial.metadb.gif,133,343.858,-318.191,945.819,715,1080,1440,1140,10.0,801,27
738,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=40_tra=0_rot=240_pos=initial.txt,RDS,40,0,240,C:\Users\geork\projects\AIThesis\src\gifs\Q5_Type=RDS_Vel=40_tra=0_rot=240_pos=initial.metadb.gif,116,72.906,90.66,974.272,715,1080,1440,1140,10.0,801,27
741,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=40_tra=0_rot=30_pos=initial.txt,RDS,40,0,30,C:\Users\geork\projects\AIThesis\src\gifs\Q5_Type=RDS_Vel=40_tra=0_rot=30_pos=initial.metadb.gif,129,360.435,94.787,947.951,715,1080,1440,1140,10.0,801,27
763,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=40_tra=400_rot=270_pos=initial.txt,RDS,40,400,270,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=RDS_Vel=40_tra=400_rot=270_pos=initial.metadb.gif,118,110.582,334.783,949.221,715,1080,1440,1140,10.0,801,27
772,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=60_tra=-200_rot=180_pos=initial.txt,RDS,60,-200,180,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=RDS_Vel=60_tra=-200_rot=180_pos=initial.metadb.gif,135,577.178,-141.797,964.037,715,1080,1440,1140,10.0,801,27
774,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=60_tra=-200_rot=240_pos=initial.txt,RDS,60,-200,240,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=RDS_Vel=60_tra=-200_rot=240_pos=initial.metadb.gif,117,91.699,-78.862,968.089,715,1080,1440,1140,10.0,801,27
785,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=60_tra=-400_rot=210_pos=initial.txt,RDS,60,-400,210,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=RDS_Vel=60_tra=-400_rot=210_pos=initial.metadb.gif,128,302.639,-226.365,940.758,715,1080,1440,1140,10.0,801,27
828,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=60_tra=400_rot=90_pos=initial.txt,RDS,60,400,90,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=RDS_Vel=60_tra=400_rot=90_pos=initial.metadb.gif,130,197.518,411.57,956.293,715,1080,1440,1140,10.0,801,27
832,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=80_tra=-200_rot=180_pos=initial.txt,RDS,80,-200,180,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=RDS_Vel=80_tra=-200_rot=180_pos=initial.metadb.gif,135,584.082,-150.327,967.481,715,1080,1440,1140,10.0,801,27
839,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=80_tra=-200_rot=60_pos=initial.txt,RDS,80,-200,60,C:\Users\geork\projects\AIThesis\src\gifs\Q7_Type=RDS_Vel=80_tra=-200_rot=60_pos=initial.metadb.gif,126,204.575,-68.039,954.885,715,1080,1440,1140,10.0,801,27
866,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=80_tra=200_rot=120_pos=initial.txt,RDS,80,200,120,C:\Users\geork\projects\AIThesis\src\gifs\Q7_Type=RDS_Vel=80_tra=200_rot=120_pos=initial.metadb.gif,127,213.928,154.478,955.719,715,1080,1440,1140,10.0,801,27
867,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=RDS_Vel=80_tra=200_rot=150_pos=initial.txt,RDS,80,200,150,C:\Users\geork\projects\AIThesis\src\gifs\Q6_Type=RDS_Vel=80_tra=200_rot=150_pos=initial.metadb.gif,128,349.999,197.881,944.545,715,1080,1440,1140,10.0,801,27
893,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=-200_rot=210_pos=initial.txt,SUV,100,-200,210,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=SUV_Vel=100_tra=-200_rot=210_pos=initial.metadb.gif,92,332.958,-49.757,1150.327,935,1388,1520,1105,10.0,900,31
933,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=100_tra=200_rot=330_pos=initial.txt,SUV,100,200,330,C:\Users\geork\projects\AIThesis\src\gifs\Q3_Type=SUV_Vel=100_tra=200_rot=330_pos=initial.metadb.gif,92,331.244,132.743,1154.176,935,1388,1520,1105,10.0,900,31
963,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=-400_rot=210_pos=initial.txt,SUV,20,-400,210,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=SUV_Vel=20_tra=-400_rot=210_pos=initial.metadb.gif,94,321.627,-258.062,1149.316,935,1388,1520,1105,10.0,900,31
973,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=0_rot=150_pos=initial.txt,SUV,20,0,150,C:\Users\geork\projects\AIThesis\src\gifs\Q1_Type=SUV_Vel=20_tra=0_rot=150_pos=initial.metadb.gif,120,694.891,-215.718,1160.891,935,1388,1520,1105,10.0,900,31
998,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=400_rot=180_pos=initial.txt,SUV,20,400,180,C:\Users\geork\projects\AIThesis\src\gifs\Q2_Type=SUV_Vel=20_tra=400_rot=180_pos=initial.metadb.gif,85,527.014,510.868,1443.412,935,1388,1520,1105,10.0,900,31
1002,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=20_tra=400_rot=300_pos=initial.txt,SUV,20,400,300,C:\Users\geork\projects\AIThesis\src\gifs\Q3_Type=SUV_Vel=20_tra=400_rot=300_pos=initial.metadb.gif,85,171.244,396.932,1157.021,935,1388,1520,1105,10.0,900,31
1011,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=40_tra=-200_rot=210_pos=initial.txt,SUV,40,-200,210,C:\Users\geork\projects\AIThesis\src\gifs\Q3_Type=SUV_Vel=40_tra=-200_rot=210_pos=initial.metadb.gif,93,344.287,-47.41,1147.509,935,1388,1520,1105,10.0,900,31
1017,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=40_tra=-200_rot=60_pos=initial.txt,SUV,40,-200,60,C:\Users\geork\projects\AIThesis\src\gifs\Q5_Type=SUV_Vel=40_tra=-200_rot=60_pos=initial.metadb.gif,93,330.75,-71.496,1151.479,935,1388,1520,1105,10.0,900,31
1036,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=40_tra=0_rot=240_pos=initial.txt,SUV,40,0,240,C:\Users\geork\projects\AIThesis\src\gifs\Q3_Type=SUV_Vel=40_tra=0_rot=240_pos=initial.metadb.gif,83,177.155,50.894,1146.91,935,1388,1520,1105,10.0,900,31
1049,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=40_tra=200_rot=270_pos=initial.txt,SUV,40,200,270,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=SUV_Vel=40_tra=200_rot=270_pos=initial.metadb.gif,79,156.057,221.94,1151.614,935,1388,1520,1105,10.0,900,31
1050,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=40_tra=200_rot=300_pos=initial.txt,SUV,40,200,300,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=SUV_Vel=40_tra=200_rot=300_pos=initial.metadb.gif,82,171.985,216.664,1155.297,935,1388,1520,1105,10.0,900,31
1060,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=40_tra=400_rot=240_pos=initial.txt,SUV,40,400,240,C:\Users\geork\projects\AIThesis\src\gifs\Q3_Type=SUV_Vel=40_tra=400_rot=240_pos=initial.metadb.gif,92,199.725,434.261,1122.478,935,1388,1520,1105,10.0,900,31
1083,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=60_tra=-400_rot=210_pos=initial.txt,SUV,60,-400,210,C:\Users\geork\projects\AIThesis\src\gifs\Q3_Type=SUV_Vel=60_tra=-400_rot=210_pos=initial.metadb.gif,93,322.372,-271.723,1148.163,935,1388,1520,1105,10.0,900,31
1096,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=60_tra=0_rot=240_pos=initial.txt,SUV,60,0,240,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=SUV_Vel=60_tra=0_rot=240_pos=initial.metadb.gif,80,183.104,44.87,1152.235,935,1388,1520,1105,10.0,900,31
1099,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=60_tra=0_rot=30_pos=initial.txt,SUV,60,0,30,C:\Users\geork\projects\AIThesis\src\gifs\Q1_Type=SUV_Vel=60_tra=0_rot=30_pos=initial.metadb.gif,116,634.394,249.838,1158.219,935,1388,1520,1105,10.0,900,31
1104,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=60_tra=200_rot=120_pos=initial.txt,SUV,60,200,120,C:\Users\geork\projects\AIThesis\src\gifs\Q5_Type=SUV_Vel=60_tra=200_rot=120_pos=initial.metadb.gif,93,335.293,154.21,1147.759,935,1388,1520,1105,10.0,900,31
1108,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=60_tra=200_rot=240_pos=initial.txt,SUV,60,200,240,C:\Users\geork\projects\AIThesis\src\gifs\Q3_Type=SUV_Vel=60_tra=200_rot=240_pos=initial.metadb.gif,89,228.517,259.097,1111.139,935,1388,1520,1105,10.0,900,31
1137,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=80_tra=-200_rot=60_pos=initial.txt,SUV,80,-200,60,C:\Users\geork\projects\AIThesis\src\gifs\Q5_Type=SUV_Vel=80_tra=-200_rot=60_pos=initial.metadb.gif,94,348.827,-64.401,1149.245,935,1388,1520,1105,10.0,900,31
1144,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=80_tra=-400_rot=240_pos=initial.txt,SUV,80,-400,240,C:\Users\geork\projects\AIThesis\src\gifs\Q4_Type=SUV_Vel=80_tra=-400_rot=240_pos=initial.metadb.gif,84,170.944,-321.999,1152.316,935,1388,1520,1105,10.0,900,31
1172,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=80_tra=200_rot=330_pos=initial.txt,SUV,80,200,330,C:\Users\geork\projects\AIThesis\src\gifs\Q3_Type=SUV_Vel=80_tra=200_rot=330_pos=initial.metadb.gif,93,339.617,132.482,1150.886,935,1388,1520,1105,10.0,900,31
1185,C:\Users\geork\projects\AIThesis\datasets\20240510\mlres\Type=SUV_Vel=80_tra=400_rot=90_pos=initial.txt,SUV,80,400,90,C:\Users\geork\projects\AIThesis\src\gifs\Q5_Type=SUV_Vel=80_tra=400_rot=90_pos=initial.metadb.gif,94,310.331,394.394,1147.803,935,1388,1520,1105,10.0,900,31
